code,"Description"
242104,"The AML Surveillance Analyst is responsible to identify, monitor, analyse and report suspicious transactions to the relevant regulatory authorities, This includes: receive alerts generated regarding potential suspicious transactions, Complete data collection and collation related to the alerts received, Analyse information collected to determine ML/TF suspicion, Compiling the gathered information into a report, Detailing suspicious ML/TF activity, Forwarding this intelligence to the appropriate channels to the relevant regulatory authorities, Converting this into actionable intelligence for client risk management purposes" 
2422,"Policy administration professionals develop and analyze policies guiding the design, implementation and modification of government and commercial operations and programs."
242201,"Manages the collection and processing of data to produce intelligence for public and private sector organisations in their planning, operations and personnel functions."
242202,"Collects and analyses information and data to produce intelligence for public or private sector organisations to support planning, operations and human resource functions."
242203,"Plans, administers and reviews corporate compliance activities and effective practice concerning company board meetings and shareholdings, ensuring all business matters and transactions are managed and implemented as directed by the board, May report to the chief financial officer."
242204,"Manages corporate funding, liquidity and financial risk associated with the profitable development and operation of an organisation, May be involved in acquisitions, disposals and joint ventures."
242207,"Provides compliance services to assist management to discharge their responsibilities by complying with applicable regulatory requirements."
242208,"Advises organisations on assessment processes to determine actual and potential risks pertaining to the organisation as a total entity."
242209,"Determines whether the annual financial statements of a company or close corporation are in agreement with the accounting records of the company or corporation; reviews the appropriateness of the accounting policies represented to the accounting officer as having been applied in the preparation of the annual financial statements; and drafts reports in respect of these tasks to the company or corporation."
242210,"Provides administrative and secretarial support to company directors."
242211,"Evaluates and improves the effectiveness of risk management, control, and governance processes within an organisation."
242212,"Promote bilateral and multilateral relations of South Africa and performs managerial and administers functions in missions."
242213,"Compiles and prepares scientific reports for submission to regulatory authorities and assists in obtaining government approval for drugs, medical devices, veterinary products, cosmetics and foods."
242214,"Integrates Expert technology appreciation and Intellectual Property management principles to develop and execute Intellectual Property protocols and strategies that enable technology and business objectives."
242215,"Prevents, Detects and deters fraud by identifying unusual trends and fraud indicators in organisation' processes and operations, determines whether organizations have adequate internal control and foster and adequate control environment to mitigate fraud risk, Conducts investigations of civil or criminal fraud, white-collar crime and identified fraud indicators"
2423,"Personnel and careers professionals provide professional business services related to personnel policies such as employee recruitment or development, occupational analyzes and vocational guidance."
242301,"Provides information ,advise and guidance to individuals and groups with managing their career,making occupational and study decisions and planning career transitions,  This includes the use of various career development tools including non standardised self directed assessments"
242302,"Analyses the skills requirements within an organisation and coordinates the execution of the personal development plans of employees and monitors the implementation of the workplace skills plan and reports accordingly."
242303,"Provides staffing and personnel administration services in support of an organisation's human resources policies and programs."
242304,"Assists in resolving disputes by advising on workplace relations policies and problems, and representing industrial, commercial, union, employer or other parties in negotiations on rates of pay and conditions of employment."
242305,"Studies and analyzes jobs performed in an establishment and writing detailed position, job or occupation descriptions from information obtained an or preparing occupational information or working on occupational classification systems."
242306,"Analyses, interprets and verifies employment statistical data to produce reports related to occupational staffing, wage rates, employment and unemployment patterns and estimates."
242307,"Plans, organises and coordinates recreation facilities and programs through organisations such as local governments, schools, church bodies and youth organisations."
2424,"Training and staff development professionals plan, develop, implement and evaluate training and development programs to ensure management and staff acquire the skills and develop the competencies required by organizations to meet organizational objectives."
242401,"Researches, plans, designs, develops, implements, monitors, evaluates, verifies and manages the quality of learning and development interventions, to ensure management and staff acquire the required competencies to meet organizational strategic objectives."
242402,"Conducts and assesses training and development to ensure management and staff acquire the skills and develop the competencies required by an organisation to meet organisational objectives."
242403,"Conducts external assessments to determine competence."
242404,"Working with students on career, study and employment options."
243,"Sales, marketing and public relations professionals plan, develop, coordinate and implement programs of information dissemination to promote organizations, goods and services, and represent companies in selling a range of technical, industrial, medical, pharmaceutical and ICT goods and services."
2431,"Advertising and marketing professionals develop and coordinate advertising strategies and campaigns, determine the market for new goods and services, and identify and develop market opportunities for new and existing goods and services."
243101,"Devises and coordinates advertising campaigns which encourage consumers to purchase particular goods or services."
243102,"Determines the market for new goods and services, develops advertising strategies, and evaluates the best business sites for commercial organisations."
243103,"Identifies market opportunities and advises on the development, coordination and implementation of plans for pricing and promoting an organisation's goods and services."
243104,"Analyses market needs of a contact centre and plans responding campaigns, Works in a contact centre."
2432,"Public relations professionals plan, develop, implement and evaluate information and communication strategies that create an understanding and a favourable view of businesses and other organizations, their goods and services, and their role in the community."
243201,"Implements and evaluates information and communication strategies which create an understanding and a favourable view of an organisation, its goods and services, and its role in the community."
243202,"Develops strategic marketing and communication strategies and advises executives on the implications of their policies, programs and practices."
243203,"Develops and implements communication strategies and campaigns by writing and selecting favourable public material and various communications media."
243204,"Conceives of, develops, creates and refines event concepts in response to a client's brief."
2433,"Technical and medical sales professionals (excluding ICT) represent companies in selling a range of industrial, medical and pharmaceutical goods and services to industrial, business, professional and other establishments."
243301,"Represents companies in selling a range of specialised chemicals, machines, manufacturing materials and other industrial supplies (excluding medical, pharmaceutical and ICT) for which a high level of technical knowledge is required."
243302,"Represents companies in selling medical, dental and veterinary equipment and supplies, and pharmaceutical products."
243303,"Represents companies in selling educational products and services."
243304,"Represents companies in selling printing and publishing equipment and supplies related products."
2434,"Information and communications technology (ICT) sales professionals sell, at the wholesale level, a range of computer hardware, software and other information and communications technology goods and services including installations and provide specialised information as required."
243401,"Manages sale of computer hardware, software and services to existing account clients and identifies further sales opportunities within these accounts, builds new account clients, manages customer satisfaction and retention, and coordinates the preparation and presentation of ICT sales proposals and tenders."
243402,"Identifies and generates new ICT business opportunities to further improve market share and awareness by gaining an understanding of customers' ICT needs and promoting goods and services to these customers, Works closely with colleagues to close sales opportunities and facilitate implementation, May manage some key customer accounts."
243403,"Develops and converts sales opportunities into sales of computer hardware, software and ICT services."
25,"Information and communications technology professionals conduct research, plan, design, write, test, provide advice and improve information technology systems, hardware, software and related concepts for specific applications; develop associated documentation including principles, policies and procedures; and design, develop, control, maintain and support databases and other information systems to ensure optimal performance and data integrity and security."
251,"Software and applications developers and analysts conduct research, plan, design, write, test, provide advice on and improve information technology systems, such as hardware, software and other applications to meet specific requirements."
2511,"Systems analysts conduct research, analyze and evaluate client information technology requirements, procedures or problems, and develop and implement proposals, recommendations, and plans to improve current or future information systems."
251101,"Evaluates processes and methods used in existing ICT systems, proposes modifications, additional system components or new systems to meet user needs as expressed in specifications and other documentation."
251102,"Data Scientist collect large amounts of unruly data and transform it into a more usable format, They Solve business-related problems using data driven techniques, They work with a variety of programming languages, including SAS,R and Python, They look for patterns in data, as well as spotting trends that can help businesses, Data Scientists use the most powerful programming systems and the most efficient algorithms to solve problems"
2512,"Software developers research, analyze and evaluate requirements for existing or new software applications and operating systems, and design, develop, test and maintain software solutions to meet these requirements."
251201,"Researches, analyzes and evaluates requirements for existing or new software applications and designs, develops, tests and maintains software solutions."
251202,"Designs, develops, modifies documents and tests, implements, installs and supports software applications and systems."
251203,"Interprets specifications, technical designs and flow charts, builds, maintains and modifies the code for software applications, constructs technical specifications from a business functional model, and tests and writes technical documentation."
2513,"Web and multimedia development professionals combine design and technical knowledge to research, analyze, evaluate, design, programme and modify websites, and applications that draw together text, graphics, animations, imaging, audio and video displays, and other interactive media."
251301,"Creates and manipulates computer animation, audio, video and graphic image files into multimedia programs to produce data and content for information kiosks, multimedia presentations, web sites, mobile telephone resources, electronic gaming environments, e-commerce and e-security solutions, and entertainment and education products."
251302,"Plans, produces and maintains web sites using web programming languages, software applications, technologies and databases together with specifications of user needs, often in conjunction with other ICT professionals such as business analysts, web designers and network and usability specialists."
2514,"Applications programmers write and maintain programmable code outlined in technical instructions and specifications for software applications and operating systems."
251401,"Writes and maintains programmable code of software applications and operating systems."
2519,"This unit group covers software and applications developers and analysts not classified elsewhere in minor group 251, For instance the group includes those professionals specialising in quality assurance including software testing."
251901,"Installs software and hardware and configures operating system software in preparation for testing and conduct testing."
252,"Database and network professionals design, develop, control, maintain and support the optimal performance and security of information technology systems and infrastructure, including databases, hardware and software, networks and operating systems."
2521,"Database designers and administrators design, develop, control, maintain and support the optimal performance and security of databases."
252101,"Designs, develops, controls, maintains and supports the optimal performance and security of databases."
2522,"Systems administrators develop, control ,maintain and support the optimal performance and security of information technology systems."
252201,"Develops, controls ,maintains and supports the optimal performance and security of information technology systems."
2523,"Computer network professionals research, analyze and recommend strategies for network architecture and development, implement, manage, maintain and configure network hardware and software, and monitor, troubleshoot and optimise performance."
252301,"Plans, develops, deploys, tests and optimises network and system services taking responsibility for configuration management and overall operational readiness of network systems, especially environments with multiple operating systems and configurations, and provides troubleshooting and fault finding services for network problems."
252302,"Researches and analyses network architecture, recommends policies and strategies for designing, planning and coordinating an organisation's network such as the total system environment and architecture, May also perform operational tasks such as monitoring system performance, software and hardware upgrades, backups, support and network maintenance."
252303,"Engineer the network through high level technical strategy and design, writing of specifications and undertaking high level planning o the network to meet business requirements"
2529,"This unit group covers database and network professionals not Elsewhere classified in minor group 252."
252901,"Establishes, manages and administers an organisation's ICT security policy and procedures to ensure preventive and recovery strategies are in place, and minimise the risk of internal and external security threats."
252902,"Manages and controls systems and network engineering support service functions, including strategy, support for business development, quality of service and operations,  Ensures specialist technical expertise and support in installing, testing, tuning, optimising, diagnosing problems, repairing, upgrading and maintaining both externally and internally supplied networks, hardware and systems software."
26,"Legal, social and cultural professionals conduct research, improve or develop concepts, theories and operational methods, or apply knowledge relating to the law, storage and retrieval of information and artefacts, psychology, social welfare, politics, economics, history, religion, languages, sociology, other social sciences, and to arts and entertainment."
261,"Legal professionals conduct research on legal problems, advise clients on legal aspects of problems, plead cases or conduct prosecutions in courts of law, preside over judicial proceedings in courts of law, and draft laws and regulations."
2611,"Lawyers give clients legal advice on a wide variety of subjects, draw up legal documents, represent clients before administrative boards or tribunals and plead cases or conduct prosecutions in courts of justice, or instruct barristers to plead in higher courts of justice."
261101,"Provides legal advice, prepares and drafts legal documents and conducts negotiations on behalf of clients on matters associated with the law."
261102,"Conducts criminal and civil lawsuits, draws up legal documents, advises clients as to legal rights and practices other phases of law."
261103,"Establishes the originality of an invention, idea or design, drafting detailed technical descriptions and definitions and legal documents to secure a patent, Protects 'intellectual property' rights through the protection of inventions, designs, ideas and related issues such as copyright."
261104,"Registers and protects trademarks such as names, slogans, symbols, logos, packaging, letters and numbers, Advises clients on industrial designs and copyright."
261105,"Hears industrial, administrative or other disputes to assist in resolving differences and to arbitrate on issues."
261106,"Pleads cases before civil, criminal and industrial courts and other tribunals."
261107,"Provides legal advise and /strategic direction on the interpretation and application of relevant legislation, investigations into proposed merger and alleged and competitive conduct and the implementation of business plans for the legal service division,  Define performance measures to evaluate the success of strategies,  Monitor and evaluate the success of strategies,  Manage and review all monthly and quarterly reports of divisional administration policies and procedures,  Oversee complience with systems and processes for efficient funtioning of the legal Service Division,  Oversee the allocation of Divisional resources and tasks,  Conduct regular feedback and status meetings with Legal Services Division staff."
2612,"Judges preside over civil and criminal proceedings in courts of law."
261201,"Presides over civil and criminal proceedings in a court of law."
261202,"Hears criminal matters to determine whether defendants will be committed for trial and adjudicates minor criminal offences without a jury."
2619,"This unit group covers legal professionals not classified elsewhere in minor group 261, For instance, the group includes those who perform legal functions other than pleading or prosecuting cases or presiding over judicial proceedings."
261901,"Hears, studies and settles cases by using judicial procedures."
261902,"Initiates and facilitates law-making processes."
261903,"Listens to testimonies and prepares reports which, when approved by the presiding judge, becomes the decision of the court."
261904," Provides high level legal and procedural advice to support the judicial functioning of the Family Court."
261905,"Notarises legal documents and administers and take oaths and affirmations."
262,"Librarians, archivists and curators develop and maintain the collections of archives, libraries, museums, art galleries, and similar establishments."
2621,"Archivists and curators collect, appraise and ensure the safekeeping and preservation of the contents of archives, artefacts and records of historical, cultural, administrative and artistic interest, and of art and other objects, They plan, devise and implement systems for the safekeeping of records and historically valuable documents."
262101,"Analyses and documents records, and plans and organises systems and procedures for the safekeeping of records and historically valuable documents."
262102,"Plans and organises a museum or gallery collection by drafting collection policies and arranging acquisitions of pieces."
262103,"Plans and organises the conservation of materials and objects in libraries, archives, museums, art galleries and other institutions."
2622,"Librarians and related information professionals collect, select, develop, organize and maintain library collections and other information repositories, organize and control other library services and provide information for users."
262201,"Develops, organises and manages library services such as collections of information, recreational resources and reader information services."
262202,"Designs, implements and administers record systems and related information services, to support efficient access, movement, updating, storage, retention and disposal of files and other organisational records."
263,"Social and religious professionals conduct research, improve or develop concepts, theories and operational methods, or apply knowledge relating to philosophy, politics, economics, sociology, anthropology, history, philology, languages, psychology, and other social sciences, or they provide social services to meet the needs of individuals and families in a community."
2631,"Economists conduct research, monitor data, analyze information and prepare reports and plans to resolve economic and business problems and develop models to analyze, explain and forecast economic behaviour and patterns, They provide advice to business, interest groups and governments to formulate solutions to present or projected economic and business problems."
263101,"Performs economic research and analysis; develops and applies theories about production and distribution of goods and services, and people's spending and financial behaviour; and provides advice to governments and organisations on subjects relating to economic policies."
263102,"To manage and conduct economic research and policy development for the effective implementation and application of competition policy and law in order to achieve the objectives of the Competition Act, Manage the development and implementation of business plans and budgets for the policy and research division, Define performance measures to evaluate the success of strategies, Manage and review all monthly and quarterly reports of divisional activities, Manage the development and maintenance of divisional administration policies and procedures, Oversee compliance with systems and processes for efficient functioning of the policy and research division."
2632,"Sociologists, anthropologists and related professionals investigate and describe the structure of societies, the origin and evolution of societies, and the interdependence between environmental conditions and human activities, They provide advice on the practical application of their findings in the formulation of economic and social policies."
263201,"Studies humanity at all times and dimensions, often concentrating on tribal societies."
263202,"Collects and studies artefacts of the near and distant past to develop a picture of how people lived in earlier cultures and societies."
263203,"Studies and analyses the relationships between human activities and the natural and built environment."
263204,"Researches the science of society, social institutions and social relationships, and specifically the systematic study of development, structure, interaction and collective behaviour of organised human groups."
263205,"Studies the etiology of crime, criminal behaviour, types of crime, and social, cultural and media reactions to crime."
263206,"Provides guidance in the conservation, management and monitoring of heritage resources of national and other significance."
2633,"Philosophers, historians and political scientists conduct research into the nature of human experience and existence, phases or aspects of human history, and political structures, movements and behaviour, They document and report on findings to inform and guide political and individual actions."
263301,"Conducts research into genealogical background of individual or family in order to establish descent from specific ancestor or to discover and identify forebears of individual or family."
263302,"Researches the history of human activity and prepares accounts of findings."
263303,"Studies the history of mankind prior to recorded history."
263304,"Studies the nature of states, the functions performed by governments, voter behaviour, political parties, political culture, political economy, and public opinion."
2634,"Psychologists research into and study the mental processes and behaviour of human beings as individuals or in groups, and apply this knowledge to promote personal, social, educational or occupational adjustment and development."
263401,"Consults with individuals and groups, assesses psychological disorders and administers programs of treatment."
263402,"Investigates learning and teaching, and develops psychological techniques to foster the development and skills of individuals and groups in educational settings."
263403,"Applies psychological principles and techniques to study occupational behaviour, working conditions and organisational structure, and solve problems of work performance and organisational design."
263404,"Provides diagnosis and treatment of mental and emotional disorders using psychotherapeutic methods such as behavioural therapy, biofeedback, relaxation therapy and other techniques."
263405,"Conducts research into various areas of psychology."
263406,"Applies psychological principles and techniques to motivate sportspersons to enhance performance."
263407,"Evaluates patients or clients and uses counselling techniques to help patients cope with stress or provides career guidance."
263408,"Researches the quality of life of individuals, communities, and society."
263409,"Conducts, evaluates and interprets psychometric tests."
2635,"Social work and counselling professionals provide advice and guidance to individuals, families, groups, communities and organizations in response to social and personal difficulties, They assist clients to develop skills and access resources and support services needed to respond to issues arising from unemployment, poverty, disability, addiction, criminal and delinquent behaviour, marital and other problems."
263501,"Promotes social changes, social development, social cohesion and the empowerment of individual, families, groups and communities through engagement with people and structures to address life challenges (needs), and enhances social wellbeing, social justice and human rights."
263502,"Provides support and treatment for people with drug and alcohol dependency problems, develops strategies which assist them to set goals and affect and maintain change, and provides community education."
263503,"Assists individuals, couples and families with marriage and re-lationship difficulties."
263504,"Assists physically, mentally and socially disadvantaged people to reintegrate into work and the community."
263505,"Provides information and assistance to students, parents and teachers about a wide range of matters such as students personal problems, learning difficulties and special requirements."
263506,"Supervises parolees who have been placed on probation by court orderor released conditionally from corrective service institutions
263507,"Assesses the social needs of individuals, families and groups, assists and empowers people to develop and use the skills and resources needed to resolve social and other problems, and furthers human well-being and human rights, social justice and social development."
263508,"Assesses protective, developmental and therapeutic needs of a young person, providing information and acting as a mediator."
263509,"Evaluates behaviour and formulates an opinion on whether an offender should be released from prison on parole after serving at least a minimum portion of their sentence as prescribed by the sentencing judge."
263510,"Assesses physical and/or mental health and well-being of employees eg, Employee fitness programs, smoking cessation, nutrition and weight loss counselling, alcohol and drug dependency counselling."
263511,"Provides individuals and groups with information counselling and or assessment with regards to career choices and development,  Career Councillors are regulated under the Health Professions Council of South Africa."
263512,"Facilitates the identification, planning and implementation of integrated and transformative community development programmes in partnership with key stakeholders for the effective empowerment of human and social capital through a community development approach towards sustainable livelihood" 
2636,"Religious professionals function as perpetuators of sacred traditions, practices and beliefs, They conduct religious services, celebrate or administer the rites of a religious faith or denomination, provide spiritual and moral guidance and perform other functions associated with the practice of a religion."
263601,"Performs spiritual functions associated with beliefs and practices of religious faiths and provides motivation, guidance and training in religious life for the people of a congregation or parish, and the wider community, This occupation requires high levels of personal commitment and interest as well as, or in place of, formal qualifications or experience."
264,"Authors, journalists and linguists conceive and create literary works, interpret and communicate news and public affairs through the media and translate or interpret from one language into another."
2641,"Authors and related writers plan, research and write books, scripts, storyboards, plays, essays, speeches, manuals, specifications and other non-journalistic articles (excluding material for newspapers, magazines and other periodicals) for publication or presentation."
264101,"Produces literary or other written work for publication or performance, This occupation requires high levels of creative talent or personal commitment and interest as well as, or in place of, formal qualifications and experience."
264102,"Evaluates manuscripts of books or scripts to determine suitability for publication or production, and edits and supervises material in preparation for publication or for production on film, television, radio or stage."
264103,"Researches and writes technical information-based material and documentation for articles, manuals, text books, handbooks, or multimedia products, usually for education or corporate purposes."
2642,"Journalists research, investigate, interpret and communicate news and public affairs through newspapers, television, radio and other media."
264201,"Designs and composes written material to advertise products and services."
264202,"Plans and directs editing of a publication such as a newspaper, magazine or journal in accordance with editorial policies and guidelines and accepted rules of grammar, style and format prior to printing and distribution."
264203,"Collects and analyses facts about newsworthy events by interview, investigation and observation and writes stories for newspapers, magazines or journals."
264204,"Collects and analyses facts about newsworthy events by interview, investigation and observation and writes stories for radio news or current affairs programs."
264205,"Presents final form of content to consumer,  Collects and analyses facts about newsworthy events by interview, investigation and observation and writes stories for television news or public affairs programs."
264206,"Writes or broadcasts opinions on the quality of things such as drama productions, art exhibitions and literary works."
2643,"Translators, interpreters and other linguists translate or interpret from one language into another and study the origin, development and structure of languages."
264301,"Transfers a spoken or signed language into another spoken or signed language, usually within a limited time frame in the presence of the participants requiring the translation."
264302,"Transfers a source text from one language into another, usually within an extended time frame to allow for corrections and modifications and without the presence of the participants who require the translation."
264303,"Studies the nature, structure, and variation of language, including phonetics, phonology, morphology, syntax, semantics, sociolinguistics, and pragmatics."
265,"Creative and performing artists communicate ideas, impressions and facts in a wide range of media to achieve particular effects; interpret a composition such as a musical score or a script to perform or direct the performance; and host the presentation of such performance and other media events."
2651,"Visual artists create and execute works of art by sculpting, painting, drawing, creating cartoons, engraving or using other techniques."
265101,"Conceives and creates visual art forms such as pictures, abstract designs and similar compositions to communicate impressions and ideas, This occupation requires high levels of creative talent or personal commitment and interest as well as, or in place of, formal qualifications or experience."
265102,"Conceives and creates functional or artistic articles by moulding clay, glass and other fusible materials using hand-building and wheel techniques, This occupation requires high levels of creative talent or personal commitment and interest as well as, or in place of, formal qualifications or experience."
265103,"Conceives and creates three-dimensional forms to communicate impressions and ideas by carving or modelling materials such as wood, stone, clay and metal or assembling found and manufactured materials, This occupation requires high levels of creative talent or personal commitment and interest as well as, or in place of, formal qualifications or experience."
265104,"Conceives and develops ideas for artistic presentations and selects and arranges subjects."
2652,"Musicians, singers and composers write, arrange, conduct and perform musical compositions."
265201,"Writes new and rearranges existing musical compositions such as songs, operas, symphonies, musical scores and advertising jingles, This occupation requires high levels of creative talent or personal commitment and interest as well as, or in place of, formal qualifications or experience."
265202,"Conducts choirs, orchestras, bands, ensembles, opera companies and musical performances, This occupation requires high levels of creative talent or personal commitment and interest as well as, or in place of, formal qualifications or experience."
265203,"Entertains by playing one or more musical instruments, This occupation requires high levels of creative talent or personal commitment and interest as well as, or in place of, formal qualifications or experience."
265204,"Entertains by singing songs, This occupation requires high levels of creative talent or personal commitment and interest as well as, or in place of, formal qualifications or experience."
265205,"Designs, conducts and evaluates music research projects and promotes the implementation of research findings in music studies."
265206,"Copies musical scores onto stencils or manuscript paper for reproduction."
2653,"Dancers and choreographers conceive and create or perform dances."
265301,"Entertains by performing dances, or creates dance compositions, This occupation requires high levels of creative talent or personal commitment and interest as well as, or in place of, formal qualifications or experience."
2654,"Film, stage and related directors and producers oversee and control the technical and artistic aspects of motion pictures, television or radio productions and stage shows."
265401,"Interprets and approves selection of scripts, and directs and instructs cast and crew during filming, recording or performance of productions, This occupation requires high levels of creative talent or personal commitment and interest as well as, or in place of, formal qualifications and experience."
265402,"Plans, directs and coordinates filming to control the quality and style of photography in films or videos."
265403,"Makes and implements editorial decisions regarding mood, pace and climax of films, television programs, video productions or commercials."
265404,"Compiles and directs programs for television or radio."
265405,"Controls the quality of pictures and sound for television or radio programs by directing technical teams and planning and organising technical facilities."
265406,"Creates films, television programs, video productions or commercials by filming, adding sound and editing in digital or analogue format, This occupation requires high levels of creative talent or personal commitment and interest as well as, or in place of, formal qualifications and experience."
265407,"Creates films, television programs or video productions by filming, adding sound and editing in digital or analogue format for police services."
265408,"Cast parts in a film or play."
265409,"Plans, administers and reviews activities concerned with the production of films or television programs."
265410,"Organises and sequences programs for television or radio."
265411,"Organises and coordinates the logistics to secures locations for the successful completion of production."
265412,"Plans, administers and reviews activities concerned with publishing, or the production of films, television or radio programs, theatre, music, festivals or other artistic activities."
2655,"Actors portray roles in motion pictures, television or radio productions and stage shows."
265501,"Entertains by portraying roles in film, television, radio and stage productions, This occupation requires high levels of creative talent or personal commitment and interest as well as, or in place of, formal qualifications or experience."
2656,"Announcers on radio, television and other media read news bulletins, conduct interviews, and make other announcements or introductions on radio, television, and in theatres and other establishments or media."
265601,"Prepares and presents news, sports or other information, conducts interviews, and introduces music, performances and special events on radio, This occupation requires high levels of creative talent or personal commitment and interest as well as, or in place of, formal qualifications and experience."
265602,"Prepares and presents news, sports and other information, conducts interviews and introduces music performances and special events on television, This occupation requires high levels of creative talent or personal commitment and interest as well as, or in place of, formal qualifications and experience."
2659,"This unit group covers all creative and performing artists not classified elsewhere, The group includes clowns, magicians, acrobats and other performing artists."
265901,"Entertains by performing a variety of acts through the use of a mix of acting, singing, dance and movement skills, This occupation requires high levels of creative talent or personal commitment and interest as well as, or in place of, formal qualifications or experience."
265902,"Entertains by hypnotising people."
265903,"Makes speeches in public settings."
265904,"Identifies issues of local need, concerns and aspirations through community consultation, and designs and implements strategies to facilitate and encourage community arts projects and happenings and promote the value of community cultural development."
3,"Technicians and associate professionals perform mostly technical and related tasks connected with research and the application of scientific or artistic concepts and operational methods, and government or business regulations."
31,"Science and engineering associate professionals perform technical tasks connected with research and operational methods in science and engineering, They supervise and control technical and operational aspects of mining, manufacturing, construction and other engineering operations, and operate technical equipment including aircraft and ships."
311,"Physical and engineering science technicians perform technical tasks to aid in research on and the practical application of concepts, principles and operational methods particular to physical sciences including such areas as engineering, technical drawing or economic efficiency of production processes."
3111,"Chemical and physical science technicians perform technical tasks to aid in research in chemistry, physics, geology, geophysics, meteorology and astronomy, and in the development of industrial, medical, military and other practical applications of research results."
311101,"Performs laboratory tests on organic and inorganic chemicals, analyses test data and carries out technical functions in support of chemists or chemical engineers and technologists in a wide variety of areas such as fuels, pharmaceuticals, paints, metals, plastics, textiles, detergents, paper, fertilisers and cosmetics."
311102,"Performs tests and experiments, and provide technical support functions to assist with research, design, production and teaching in physical sciences."
311103,"Perform oil factory evaluations of neat fragrance oils followed by evaluations of fabrics washed with detergent /softener containing encapsulated version of such oils to compare fragrance profile/performance before and after laundry
311104,"Monitors radiation safety compliance and controls and processes radioactive materials and radiation generation equipment."
3112,"Civil engineering technicians perform technical tasks in civil engineering research, design, construction, operation, maintenance and repair of buildings and other structures, such as water supply and wastewater treatment systems, bridges, roads, dams and airports."
311201,"Conducts tests of construction materials, prepares sketches and tabulations, and assists in estimating costs in support of civil engineering professionals and engineering technologists."
311202,"Collects, records and evaluates survey data and prepares maps, charts and plans in support of surveyors and cartographers."
311203,"Provides technical support to town planners by preparing and maintaining plans, documents, charts, photographs, tables, reports, and exhibition material for projects, public meetings and committees related to the controlled use of urban and rural land."
311217,"Monitor and control water abstraction in the catchment area, Undertaking inspection of dams in accordance with dam safety legislation, Assist with water registration, validation and issuing of water licenses, Take Water meter reading and monitor water use in the area" 
3113,"Electrical engineering technicians perform technical tasks to aid in electrical engineering research, and in the design, manufacture, assembly, construction, operation, maintenance and repair of electrical equipment, facilities and distribution systems."
311301,"Conducts tests of electrical systems, prepares charts and tabulations, and assists in estimating costs in support of electrical engineers and engineering technologists."
311302,"Controls the operations of electric substations to load and distribute electrical power."
311303,"Evaluates electrical installations, equipment and processes and collects data and makes recommendations on energy usage and efficiency."
3114,"Electronics engineering technicians perform technical tasks to aid in electronic research, and in the design, manufacture, assembly, construction, operation, maintenance and repair of electronic equipment."
311401,"Conducts tests of electronic systems, collects and analyses data, and assembles circuitry in support of electronics engineers and engineering technologists."
3115,"Mechanical engineering technicians perform technical tasks to aid in mechanical engineering research, and in the design, manufacture, assembly, construction, operation, maintenance and repair of machines, components and mechanical equipment."
311501,"Conducts tests of mechanical systems, collects and analyses data, and assembles and installs mechanical assemblies in support of mechanical engineers and engineering technologists."
311502,"Conducts integrity assessments and tests of in-service pressure equipment and or certify new fabrication, modifications and repairs of pressure equipment in accordance with the applicable national legislation"
